;Artikelnummer;Menge;Beschreibung 1;Beschreibung 2;Listenpreis;Nettowert;
ART;TEMPUS1820I;1,000;Temponox Übergangsstück 18mm x 3/4" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;18 €;8,10 €;
ART;TEMPUS2215I;1,000;Temponox Übergangsstück 22mm x 1/2" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;22,6 €;10,17 €;
ART;TEMPUS2220I;1,000;Temponox Übergangsstück 22mm x 3/4" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;19,1 €;8,60 €;
ART;TEMPUS2225I;1,000;Temponox Übergangsstück 22mm x 1" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;22,5 €;10,13 €;
ART;TEMPUS2820I;1,000;Temponox Übergangsstück 28mm x 3/4" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;27,6 €;12,42 €;
ART;TEMPUS2825I;1,000;Temponox Übergangsstück 28mm x 1" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;26 €;11,70 €;
ART;TEMPUS3520I;1,000;Temponox Übergangsstück 35mm x 3/4" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;33 €;14,85 €;
ART;TEMPUS3525I;1,000;Temponox Übergangsstück 35mm x 1" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;29,5 €;13,28 €;
ART;TEMPUS3532I;1,000;Temponox Übergangsstück 35mm x 1 1/4" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;36,3 €;16,34 €;
ART;TEMPUS4232I;1,000;Temponox Übergangsstück 42mm x 1 1/4" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;36,1 €;16,25 €;
ART;TEMPUS4240I;1,000;Temponox Übergangsstück 42mm x 1 1/2" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;48,4 €;21,78 €;
ART;TEMPUS5450I;1,000;Temponox Übergangsstück 54mm x 2" IG;nichtr. Stahl, Pressanschl.  nicht f. TW;76,1 €;34,25 €;
ART;TEMPM15;1,000;Temponox Muffe 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;6,5 €;2,93 €;
ART;TEMPM18;1,000;Temponox Muffe 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;6,9 €;3,11 €;
ART;TEMPM22;1,000;Temponox Muffe 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;7,1 €;3,20 €;
ART;TEMPM28;1,000;Temponox Muffe 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;9,6 €;4,32 €;
ART;TEMPM35;1,000;Temponox Muffe 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;14,2 €;6,39 €;
ART;TEMPM42;1,000;Temponox Muffe 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;19,1 €;8,60 €;
ART;TEMPM54;1,000;Temponox Muffe 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;23 €;10,35 €;
ART;TEMPSM15;1,000;Temponox Schiebemuffe 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;9,9 €;4,46 €;
ART;TEMPSM18;1,000;Temponox Schiebemuffe 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;11 €;4,95 €;
ART;TEMPSM22;1,000;Temponox Schiebemuffe 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;12,4 €;5,58 €;
ART;TEMPSM28;1,000;Temponox Schiebemuffe 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;14,5 €;6,53 €;
ART;TEMPSM35;1,000;Temponox Schiebemuffe 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;21 €;9,45 €;
ART;TEMPSM42;1,000;Temponox Schiebemuffe 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;23,5 €;10,58 €;
ART;TEMPSM54;1,000;Temponox Schiebemuffe 54mm;nichtr. Stahl, Pressanschl.  nicht f. TW;31,1 €;14,00 €;
ART;TEMPRS1815;1,000;Temponox Reduzierstück 18 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;5,8 €;2,61 €;
ART;TEMPRS2215;1,000;Temponox Reduzierstück 22 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;6,2 €;2,79 €;
ART;TEMPRS2218;1,000;Temponox Reduzierstück 22 x 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;7,2 €;3,24 €;
ART;TEMPRS2815;1,000;Temponox Reduzierstück 28 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;11 €;4,95 €;
ART;TEMPRS2818;1,000;Temponox Reduzierstück 28 x 18mm;nichtr. Stahl, Pressanschl.  nicht f. TW;10,9 €;4,91 €;
ART;TEMPRS2822;1,000;Temponox Reduzierstück 28 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;10,8 €;4,86 €;
ART;TEMPRS3515;1,000;Temponox Reduzierstück 35 x 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;15,2 €;6,84 €;
ART;TEMPRS3522;1,000;Temponox Reduzierstück 35 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;12,5 €;5,63 €;
ART;TEMPRS3528;1,000;Temponox Reduzierstück 35 x 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;12,7 €;5,72 €;
ART;TEMPRS4222;1,000;Temponox Reduzierstück 42 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;25,2 €;11,34 €;
ART;TEMPRS4228;1,000;Temponox Reduzierstück 42 x 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;21,8 €;9,81 €;
ART;TEMPRS4235;1,000;Temponox Reduzierstück 42 x 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;20 €;9,00 €;
ART;TEMPRS5422;1,000;Temponox Reduzierstück 54 x 22mm;nichtr. Stahl, Pressanschl.  nicht f. TW;46,9 €;21,11 €;
ART;TEMPRS5428;1,000;Temponox Reduzierstück 54 x 28mm;nichtr. Stahl, Pressanschl.  nicht f. TW;47,7 €;21,47 €;
ART;TEMPRS5435;1,000;Temponox Reduzierstück 54 x 35mm;nichtr. Stahl, Pressanschl.  nicht f. TW;41,1 €;18,50 €;
ART;TEMPRS5442;1,000;Temponox Reduzierstück 54 x 42mm;nichtr. Stahl, Pressanschl.  nicht f. TW;42,9 €;19,31 €;
ART;TEMPV1515U;1,000;Temponox Anschl.-Verschraub. 15mm x 1/2";nichtr. Stahl, Pressanschl.  nicht f. TW;20,9 €;9,41 €;
ART;TEMPV1520U;1,000;Temponox Anschl.-Verschraub. 15mm x 3/4";nichtr. Stahl, Pressanschl.  nicht f. TW;18,4 €;8,28 €;
ART;TEMPV1525U;1,000;Temponox Anschl.-Verschraub. 15mm x 1";nichtr. Stahl, Pressanschl.  nicht f. TW;23,2 €;10,44 €;
ART;TEMPV1820U;1,000;Temponox Anschl.-Verschraub. 18mm x 3/4";nichtr. Stahl, Pressanschl.  nicht f. TW;14,1 €;6,35 €;
ART;TEMPV1825U;1,000;Temponox Anschl.-Verschraub. 18mm x 1";nichtr. Stahl, Pressanschl.  nicht f. TW;16,6 €;7,47 €;
ART;TEMPV2225U;1,000;Temponox Anschl.-Verschraub. 22mm x 1";nichtr. Stahl, Pressanschl.  nicht f. TW;19,9 €;8,96 €;
ART;TEMPV2220U;1,000;Temponox Anschl.-Verschraub. 22mm x 3/4";nichtr. Stahl, Pressanschl.  nicht f. TW;18,2 €;8,19 €;
ART;TEMPV2232U;1,000;Temponox Anschl.-Verschraub. 22mmx1 1/4";nichtr. Stahl, Pressanschl.  nicht f. TW;32,4 €;14,58 €;
ART;TEMPV2240U;1,000;Temponox Anschl.-Verschraub. 22mmx1 1/2";nichtr. Stahl, Pressanschl.  nicht f. TW;34 €;15,30 €;
ART;TEMPV2825U;1,000;Temponox Anschl.-Verschraub. 28mm x 1";nichtr. Stahl, Pressanschl.  nicht f. TW;25,3 €;11,39 €;
ART;TEMPV2832U;1,000;Temponox Anschl.-Verschraub. 28mmx1 1/4";nichtr. Stahl, Pressanschl.  nicht f. TW;26,3 €;11,84 €;
ART;TEMPV2840U;1,000;Temponox Anschl.-Verschraub. 28mmx1 1/2";nichtr. Stahl, Pressanschl.  nicht f. TW;25,5 €;11,48 €;
ART;TEMPV3540U;1,000;Temponox Anschl.-Verschraub. 35mmx1 1/2";nichtr. Stahl, Pressanschl.  nicht f. TW;39,4 €;17,73 €;
ART;TEMPV4245U;1,000;Temponox Anschl.-Verschraub. 42mmx1 3/4";nichtr. Stahl, Pressanschl.  nicht f. TW;55,8 €;25,11 €;
ART;TEMPV4250U;1,000;Temponox Anschl.-Verschraub. 42mm x 2";nichtr. Stahl, Pressanschl.  nicht f. TW;79,6 €;35,82 €;
ART;TEMPV5460U;1,000;Temponox Anschl.-Verschraub. 54mmx2 3/8";nichtr. Stahl, Pressanschl.  nicht f. TW;79,9 €;35,96 €;
ART;TEMPV5465U;1,000;Temponox Anschl.-Verschraub. 54mmx2 1/2";nichtr. Stahl, Pressanschl.  nicht f. TW;98,9 €;44,51 €;
ART;TEMPVK15;1,000;Temponox Verschlusskappe 15mm;nichtr. Stahl, Pressanschl.  nicht f. TW;11,2 €;5,04 €;
